t	N	S	f197536	f197553	f205457	f205440	f197537
438	2529	85	0	0	0	0	0
439	2482	86	0	0	0	0	0
440	2505	83	0	0	0	0	0
441	2515	88	0	0	0	0	0
442	2475	87	0	0	0	0	0
443	2481	82	0	0	0	0	0
444	2483	80	0	0	0	0	0
445	2525	67	0	0	0	0	0
446	2511	77	0	0	0	0	0
447	2528	82	0	0	0	0	0
448	2482	78	0	0	0	0	0
449	2468	80	0	0	0	0	0
450	2484	83	0	0	0	0	0
451	2497	75	0	0	0	0	0
452	2525	79	0	0	0	0	0
453	2510	76	0	0	0	0	0
454	2520	82	0	0	0	0	0
455	2520	74	0	0	0	0	0
456	2529	71	0	0	0	0	0
457	2540	80	0	0	0	0	0
458	2509	72	0	0	0	0	0
459	2516	74	0	0	0	0	0
460	2495	89	0	0	0	0	0
461	2493	78	0	0	0	0	0
462	2546	76	0	0	0	0	0
463	2523	78	0	0	0	0	0
464	2508	87	0	0	0	0	0
465	2514	71	0	0	0	0	0
466	2503	70	0	0	0	0	0
467	2483	78	0	0	0	0	0
468	2501	83	0	0	0	0	0
469	2467	86	0	0	0	0	0
470	2498	79	0	0	0	0	0
471	2507	80	0	0	0	0	0
472	2499	83	0	0	0	0	0
473	2527	77	0	0	0	0	0
474	2509	86	0	0	0	0	0
475	2479	89	0	0	0	0	0
476	2526	82	0	0	0	0	0
477	2505	73	0	0	0	0	0
478	2526	74	0	0	0	0	0
479	2511	80	0	0	0	0	0
480	2523	90	0	0	0	0	0
481	2527	82	0	0	0	0	0
482	2519	80	0	0	0	0	0
483	2507	82	0	0	0	0	0
484	2537	80	0	0	0	0	0
485	2540	80	0	0	0	0	0
486	2546	72	0	0	0	0	0
487	2519	73	0	0	0	0	0
488	2523	89	0	0	0	0	0
489	2531	76	0	0	0	0	0
490	2508	101	0	0	0	0	0
491	2485	93	0	0	0	0	0
492	2516	84	0	0	0	0	0
493	2511	79	0	0	0	0	0
494	2507	77	0	0	0	0	0
495	2512	89	0	0	0	0	0
496	2524	78	0	0	0	0	0
497	2486	80	0	0	0	0	0
498	2509	93	0	0	0	0	0
499	2486	82	0	0	0	0	0
500	2507	85	0	0	0	0	0
501	2533	84	0	0	0	0	0
502	2516	79	0	0	0	0	0
503	2518	80	0	0	0	0	0
504	2521	87	0	0	0	0	0
505	2518	82	0	0	0	0	0
506	2483	86	0	0	0	0	0
507	2504	85	0	0	0	0	0
508	2528	83	0	0	0	0	0
509	2501	83	0	0	0	0	0
510	2528	79	0	0	0	0	0
511	2523	89	0	0	0	0	0
512	2549	77	0	0	0	0	0
513	2514	77	0	0	0	0	0
514	2537	81	0	0	0	0	0
515	2534	81	0	0	0	0	0
516	2513	80	0	0	0	0	0
517	2536	83	0	0	0	0	0
518	2517	75	0	0	0	0	0
519	2519	73	0	0	0	0	0
520	2533	75	0	0	0	0	0
521	2482	79	0	0	0	0	0
522	2501	77	0	0	0	0	0
523	2477	86	0	0	0	0	0
524	2483	77	0	0	0	0	0
525	2504	86	0	0	0	0	0
526	2524	88	0	0	0	0	0
527	2542	77	0	0	0	0	0
528	2518	82	0	0	0	0	0
529	2505	80	0	0	0	0	0
530	2547	78	0	0	0	0	0
531	2566	76	0	0	0	0	0
532	2563	75	0	0	0	0	0
533	2516	85	0	0	0	0	0
534	2498	85	0	0	0	0	0
535	2536	79	0	0	0	0	0
536	2498	83	0	0	0	0	0
537	2507	83	0	0	0	0	0
538	2505	80	0	0	0	0	0
539	2505	77	0	0	0	0	0
540	2524	78	0	0	0	0	0
541	2506	81	0	0	0	0	0
542	2511	87	0	0	0	0	0
543	2524	77	0	0	0	0	0
544	2532	72	0	0	0	0	0
545	2497	80	0	0	0	0	0
546	2504	82	0	0	0	0	0
547	2515	89	0	0	0	0	0
548	2509	82	0	0	0	0	0
549	2521	87	0	0	0	0	0
550	2525	94	0	0	0	0	0
551	2519	83	0	0	0	0	0
552	2530	74	0	0	0	0	0
553	2507	77	0	0	0	0	0
554	2495	81	0	0	0	0	0
555	2511	78	0	0	0	0	0
556	2508	92	0	0	0	0	0
557	2524	85	0	0	0	0	0
558	2536	81	0	0	0	0	0
559	2516	83	0	0	0	0	0
560	2506	80	0	0	0	0	0
561	2497	80	0	0	0	0	0
562	2529	84	0	0	0	0	0
563	2510	81	0	0	0	0	0
564	2505	76	0	0	0	0	0
565	2520	75	0	0	0	0	0
566	2521	79	0	0	0	0	0
567	2524	85	0	0	0	0	0
568	2528	82	0	0	0	0	0
569	2503	69	0	0	0	0	0
570	2484	80	0	0	0	0	0
571	2485	76	0	0	0	0	0
572	2506	82	0	0	0	0	0
573	2527	91	0	0	0	0	0
574	2494	80	0	0	0	0	0
